Model,Image Size,mAP,RPi 4 1950,RPi 5 2900,
NanoDet,320x320,20.6,13.0,43.2,
NanoDet Plus,416x416,30.4,5.0,30.0,
"PP-PicoDet
",320x320,27.0,7.5,53.7,
YoloFastestV2,352x352,24.1,18.8,78.5,
YoloV2,416x416,19.2,3.0,24.0,
YoloV3-tiny,352x352,16.6,4.4,18.1,
YoloV4-tiny,416x416,21.7,3.4,17.5,
YoloV4-full,608x608,45.3,0.2,1.82,
YoloV5-nano,640x640,22.5,1.6,13.6,
YoloV5-small,640x640,22.5,1.6,6.3,
YoloV6-nano,640x640,35.0,2.7,15.8,
YoloV7-tiny,640x640,38.7,2.1,14.4,
YoloV8-nano,640x640,37.3,3.1,20.0,
YoloV8-small,640x640,44.9,1.47,11.0,
YoloV9-comp,640x640,53.0,0.28,1.5,
YoloX-nano,416x416,25.8,7.0,38.6,
YoloX-tiny,416x416,32.8,2.8,17.2,
YoloX-small,640x640,40.5,0.9,4.5,